Ranking,Job Title,Company,Jobs Posted,Job Type,Category,Salary,Skills,Region,Link,min_salary,max_salary,average_salary
104,Senior React Native Developer,Proxify AB,59,Full-Time,Front-End Programming,,React Native,Anywhere in the World,https://weworkremotely.com/remote-jobs/proxify-ab-senior-react-native-developer-3,,,
105,Senior Microsoft Power BI Developer,Proxify AB,59,Full-Time,All Other Remote,,Power BI,Anywhere in the World,https://weworkremotely.com/remote-jobs/proxify-ab-senior-microsoft-power-bi-developer-1,,,
106,Senior Fullstack Developer,Proxify AB,59,Full-Time,Full-Stack Programming,,Full Stack Dev,Anywhere in the World,https://weworkremotely.com/remote-jobs/proxify-ab-senior-fullstack-developer-1,,,
107,Cybersecurity Architect,RemoteMore,52,Full-Time,All Other Remote,,,Anywhere in the World,https://weworkremotely.com/remote-jobs/remotemore-cybersecurity-architect-1,,,
108,Head of Social Media,MVC Resources,1,Full-Time,Sales and Marketing,,"Paid Social Media Advertising, Social Media Marketing, Bug Tracking, Social Media Management, Performance Monitoring, Social Media Ads, KPI Tracking, Social Media Content, Inventory Tracking, Display Advertising",Anywhere in the World,https://weworkremotely.com/remote-jobs/mvc-resources-head-of-social-media,,,
109,Student Representatives,EDUopinions,21,Contract,All Other Remote,,,Anywhere in the World,https://weworkremotely.com/remote-jobs/eduopinions-student-representatives-16,,,
110,Frontend Engineer,Mobena,1,Full-Time,Front-End Programming,"$75,000 - $99,999 USD","Figma, HTML/CSS, JavaScript, UI/UX",,https://weworkremotely.com/remote-jobs/mobena-frontend-engineer,75000.0,99999.0,87499.5
111,Freelance Writer,ProWriterSites,2,Contract,All Other Remote,,,Anywhere in the World,https://weworkremotely.com/remote-jobs/prowritersites-freelance-writer,,,
112,"Director, Product Design",Smartsheet,1,Full-Time,Design,,"Enterprise Systems, Graphic Design, Productivity Software, Project Management, Software Support, Software Upgrades, SaaS, Hardware/Software Support, HR Software, Construction & Engineering Project Management",Anywhere in the World,https://weworkremotely.com/remote-jobs/smartsheet-director-product-design,,,
113,NoCode / LowCode Developer (no-code / Low-code ),CloudDevs,21,Full-Time,Full-Stack Programming,,,Anywhere in the World,https://weworkremotely.com/remote-jobs/clouddevs-nocode-lowcode-developer-no-code-low-code,,,
